;bid;Name;area;free_walls;floors;use;type;year;lat;lon;dist2hp
0;11;B11;87.34126890215985;4;3.0;3;2;1.0;-337302.81003689975;8881.741773704152;0
1;12;B12;74.63293265898963;2;3.0;3;2;1.0;-337355.75835667585;9147.530342432783;0
2;13;B13;13.209813479209238;1;3.0;3;2;1.0;-337314.86982951214;8771.01145523793;0
3;14;B14;28.62976613309392;4;3.0;3;2;1.0;-337304.6902910728;9096.01226227766;0
4;15;B15;50.21909170469159;2;3.0;3;2;1.0;-337335.48362925294;9150.244972200373;0
5;16;B16;1211.9947786490575;4;3.0;3;2;1.0;-337387.8573682327;9218.405445846625;0
6;17;B17;120.04311706468232;3;3.0;3;2;1.0;-337319.3660542466;9044.611726524994;0
7;18;B18;27.8168390162125;3;3.0;3;2;1.0;-337288.3896924648;8776.71493977165;0
8;19;B19;177.62720849894868;4;3.0;3;2;1.0;-337579.9323831128;8599.35487648182;0
9;20;B20;67.86357175929516;4;3.0;3;2;1.0;-337385.1467174868;9098.640228389948;0
10;21;B21;67.98602611136562;4;3.0;3;2;1.0;-337385.32256165455;9086.651059947306;0
11;22;B22;144.76376365151404;3;3.0;3;2;1.0;-337564.212776237;8663.966527525714;0
12;23;B23;614.6365070705153;4;3.0;3;2;1.0;-337344.54639717645;9131.523398663443;0
13;24;B24;26.946891594292477;4;3.0;3;2;1.0;-337316.2107462301;9053.132944749368;0
14;25;B25;23.928329010960802;2;3.0;3;2;1.0;-337310.3378178861;9045.444120804365;0
15;26;B26;48.287477878459896;4;3.0;3;2;1.0;-337356.63305386633;9111.497942966891;0
16;27;B27;140.0277187216744;4;3.0;3;2;1.0;-337325.88445068774;8838.830079617923;0
17;28;B28;48.77323591523077;4;3.0;3;2;1.0;-337353.2379642504;8867.124086792814;0
18;29;B29;53.74993768414724;4;3.0;3;2;1.0;-337487.28553785465;9104.970556969683;0
19;30;B30;76.67806034158066;3;3.0;3;2;1.0;-337404.24704756675;8844.121976936447;0
20;31;B31;145.4833646406632;4;3.0;3;2;1.0;-337413.1704624411;8841.653707860602;0
21;32;B32;86.19002898048228;4;3.0;3;2;1.0;-337300.75404548226;9104.111023822681;0
22;33;B33;18.002407783689176;4;3.0;3;2;1.0;-337300.6768354169;8832.736713953655;0
23;34;B34;82.2930667120278;4;3.0;3;2;1.0;-337322.27911861765;8802.447605389436;0
24;35;B35;266.20931204600373;4;3.0;3;2;1.0;-337389.93642013764;9169.374373808125;0
25;36;B36;35.91592875885605;4;3.0;3;2;1.0;-337303.0590936521;8802.245692146653;0
26;37;B37;79.87448485256924;4;3.0;3;2;1.0;-337393.44743700087;8781.234136734252;0
27;38;B38;63.62115834529477;3;3.0;3;2;1.0;-337310.73705017846;8772.008283869716;0
28;39;B39;54.88268347167376;4;3.0;3;2;1.0;-337316.4469345157;9079.00935763682;0
29;40;B40;13.588686607883876;4;3.0;3;2;1.0;-337340.1085094166;8767.01179409127;0
30;41;B41;97.32836803059577;4;3.0;3;2;1.0;-337319.961653555;8770.120862625003;0
31;42;B42;72.90201006743332;4;3.0;3;2;1.0;-337331.03838643635;8858.930161929124;0
32;43;B43;66.01576810374114;4;3.0;3;2;1.0;-337311.8228379809;9135.043698220665;0
33;69;B69;95.0412104937186;4;3.0;3;2;1.0;-337288.99047350266;8828.077341855129;0
34;70;B70;53.545416531867524;3;3.0;3;2;1.0;-337311.921915596;9039.484135509432;0
35;44;B44;149.0220503271482;4;3.0;3;2;1.0;-337331.3553663475;9098.541380718905;0
36;45;B45;28.293914776696745;4;3.0;3;2;1.0;-337385.5023927955;9060.405558303088;0
37;46;B46;26.809154547661198;4;3.0;3;2;1.0;-337301.003190832;9088.817950554232;0
38;47;B47;17.825120228977607;3;3.0;3;2;1.0;-337284.75993724057;8777.044416514564;0
39;48;B48;71.77096407412738;4;3.0;3;2;1.0;-337295.18233837973;9120.398239268463;0
40;49;B49;46.099441814151405;4;3.0;3;2;1.0;-337310.0145763242;9071.297590447786;0
41;50;B50;19.737251666920375;2;3.0;3;2;1.0;-337302.3588853138;9098.631620532891;0
42;51;B51;832.5211252181783;4;3.0;3;2;1.0;-337368.10218282166;9069.135519359119;0
43;52;B52;123.38015073207245;4;3.0;3;2;1.0;-337399.9934864763;8789.703676501438;0
44;53;B53;53.68488406999492;4;3.0;3;2;1.0;-337321.34720875946;9095.798099340549;0
45;54;B54;265.4758972616114;4;3.0;3;2;1.0;-337422.50111540325;9178.675216749942;0
46;55;B55;131.9844415497756;4;3.0;3;2;1.0;-337349.1249188369;8749.294395484738;0
47;115;B115;31.678421770465167;4;3.0;3;2;1.0;-336394.0749714497;9183.853083199929;0
48;56;B56;34.79119398909473;3;3.0;3;2;1.0;-337308.107881529;9077.453643373337;0
49;57;B57;256.0758354351284;4;3.0;3;2;1.0;-337341.8803894268;9052.752192647007;0
50;58;B58;122.93536175671274;4;3.0;3;2;1.0;-337318.5773432543;9126.528485517714;0
51;59;B59;269.8711999357296;3;3.0;3;2;1.0;-337347.77793891344;9156.07128716516;0
52;60;B60;247.19679818500322;4;3.0;3;2;1.0;-337370.89400553453;9093.020940586905;0
53;61;B61;56.446888835386325;3;3.0;3;2;1.0;-337363.90795977047;9032.991932621198;0
54;62;B62;56.7147095975496;4;3.0;3;2;1.0;-337314.62591214915;9086.343334054975;0
55;63;B63;41.73383714525193;4;3.0;3;2;1.0;-337306.43499373685;8870.53025305922;0
56;64;B64;85.9349281291757;4;3.0;3;2;1.0;-337331.94260282896;8868.570912115601;0
57;65;B65;28.216185601015233;4;3.0;3;2;1.0;-337385.31827094505;9075.832017678687;0
58;66;B66;162.32635195601324;3;3.0;3;2;1.0;-337561.45667575486;8654.700794068622;0
59;67;B67;41.98496648958857;3;3.0;3;2;1.0;-337327.772244035;8848.663232469282;0
60;68;B68;65.07914692582503;4;3.0;3;2;1.0;-337341.9325348519;8824.197531641947;0
61;71;B71;383.543714483031;4;3.0;3;2;1.0;-337388.4728463564;9146.505024686849;0
62;72;B72;89.86073663765131;4;3.0;3;2;1.0;-337289.5916681438;8812.323190945814;0
63;73;B73;161.22742453970125;4;3.0;3;2;1.0;-337290.23285852507;9068.179330503948;0
64;74;B74;116.72176036211943;4;3.0;3;2;1.0;-337354.4468438184;8856.327089997663;0
65;75;B75;54.93185176967865;4;3.0;3;2;1.0;-337314.21871882834;8800.239987309853;0
66;76;B76;94.38588538542894;4;3.0;3;2;1.0;-337348.1927188804;8832.809547612898;0
67;77;B77;18.93391245959291;4;3.0;3;2;1.0;-337412.7268736193;8811.186328726646;0
68;78;B78;98.12075395224261;4;3.0;3;2;1.0;-337293.06088854594;8786.615433683259;0
69;79;B79;140.73843250772;4;3.0;3;2;1.0;-337374.9362860879;9031.639520642;0
70;80;B80;45.16093204388661;2;3.0;3;2;1.0;-336350.89597274293;9266.575110874635;0
71;81;B81;48.27967114760683;4;3.0;3;2;1.0;-336413.9908255328;9202.206081875265;0
72;82;B82;91.86666746754315;4;3.0;3;2;1.0;-336411.8791303425;9316.26379186055;0
73;83;B83;139.20403235818327;4;3.0;3;2;1.0;-336468.0573687749;9421.872830085009;0
74;84;B84;20.31165196041463;3;3.0;3;2;1.0;-336408.41536537086;9327.757883754715;0
75;85;B85;87.84436597724127;4;3.0;3;2;1.0;-336379.952272349;9274.201207268616;0
76;86;B86;8.202595964121572;1;3.0;3;2;1.0;-336321.10434440617;9291.34486542534;0
77;87;B87;10.925587846103397;2;3.0;3;2;1.0;-336417.8146199859;9392.619943114962;0
78;88;B88;9.428197958818458;2;3.0;3;2;1.0;-336488.8745131696;9225.993055899351;0
79;89;B89;27.009973786242416;3;3.0;3;2;1.0;-336437.9682347168;9490.287039779601;0
80;90;B90;25.729230877220783;4;3.0;3;2;1.0;-336482.454357891;9167.878663646079;0
81;91;B91;80.73771176700856;4;3.0;3;2;1.0;-336310.6858541511;9210.230270211354;0
82;92;B92;109.29261025246325;3;3.0;3;2;1.0;-336424.76913653704;9221.789435189903;0
83;93;B93;28.2542095993727;4;3.0;3;2;1.0;-336457.5109109038;9348.718606740285;0
84;94;B94;6.980333672122862;1;3.0;3;2;1.0;-336404.7307169656;9432.204808894485;0
85;95;B95;10.966264310358495;2;3.0;3;2;1.0;-336462.8385313232;9351.026487400282;0
86;96;B96;8.32861675744322;1;3.0;3;2;1.0;-336427.3501584139;9227.650988887191;0
87;97;B97;6.785779505126289;3;3.0;3;2;1.0;-336397.1477113347;9188.005712325406;0
88;98;B98;28.052559364538205;2;3.0;3;2;1.0;-336380.34480996453;9281.141380381921;0
89;99;B99;56.23268354842266;4;3.0;3;2;1.0;-336327.9132840891;9253.805424517928;0
90;100;B100;92.44696339257081;4;3.0;3;2;1.0;-336421.6328765564;9140.731576301254;0
91;101;B101;83.26014587328179;4;3.0;3;2;1.0;-336332.90489020076;9324.404335127538;0
92;102;B102;14.026914571911348;4;3.0;3;2;1.0;-336348.1626578254;9383.937771937575;0
93;103;B103;5.95943951006741;1;3.0;3;2;1.0;-336385.234839715;9410.551568300782;0
94;104;B104;8.920650584631437;2;3.0;3;2;1.0;-336331.38600173977;9330.793516413021;0
95;105;B105;9.260367681024253;3;3.0;3;2;1.0;-336468.90883891145;9346.814061141247;0
96;106;B106;55.850298517050376;3;3.0;3;2;1.0;-336392.59734077915;9346.891214544057;0
97;107;B107;1350.1371889040997;4;3.0;3;2;1.0;-336444.7407076611;9109.521153686535;0
98;108;B108;49.28847177518865;4;3.0;3;2;1.0;-336430.220195431;9160.855513096476;0
99;109;B109;10.162468949059049;4;3.0;3;2;1.0;-336415.65600720583;9227.642953511848;0
100;110;B110;92.40522977542868;4;3.0;3;2;1.0;-336437.35298695863;9307.309796256766;0
101;111;B111;90.23280259672308;4;3.0;3;2;1.0;-336411.9737386705;9193.168245192222;0
102;112;B112;93.66049431545486;4;3.0;3;2;1.0;-336345.2674628736;9238.08203427116;0
103;113;B113;99.22584946384931;3;3.0;3;2;1.0;-336433.4634766799;9492.969834047077;0
104;114;B114;50.73781506819201;3;3.0;3;2;1.0;-336476.7037614012;9267.000107712307;0
105;116;B116;21.226860851779218;2;3.0;3;2;1.0;-336403.5590223489;9430.183902910712;0
106;117;B117;127.88163990572366;4;3.0;3;2;1.0;-336394.76240216184;9423.168821275081;0
107;118;B118;40.48760696388805;3;3.0;3;2;1.0;-336355.09908101714;9296.362421849379;0
108;119;B119;102.42188871112108;4;3.0;3;2;1.0;-336361.31578497443;9377.429959529129;0
109;120;B120;51.984461985789764;4;3.0;3;2;1.0;-336462.4781899572;9429.45491957985;0
110;121;B121;42.57977395084133;3;3.0;3;2;1.0;-336357.96518559655;9302.853725218267;0
111;122;B122;53.26997522729815;4;3.0;3;2;1.0;-336421.78002318885;9334.945773996807;0
112;123;B123;120.9009237927032;4;3.0;3;2;1.0;-336449.07411877904;9273.989548353518;0
113;124;B124;197.25961422093113;4;3.0;3;2;1.0;-336415.1042612058;9455.773679115115;0
114;125;B125;28.183048809331915;2;3.0;3;2;1.0;-336465.9261679275;9349.28392231794;0
115;126;B126;81.52278668898215;4;3.0;3;2;1.0;-336396.01147743047;9221.476610346534;0
116;127;B127;51.535723347910775;4;3.0;3;2;1.0;-336321.85642064444;9244.149125628015;0
117;128;B128;58.9960218578279;3;3.0;3;2;1.0;-336421.5495711957;9400.73814027512;0
118;129;B129;108.8398717417833;4;3.0;3;2;1.0;-336452.11134659016;9391.884630629467;0
119;130;B130;13.148399459485514;4;3.0;3;2;1.0;-336480.58833548456;9142.401592499768;0
120;131;B131;107.10182834253018;4;3.0;3;2;1.0;-336417.0327542808;9284.038077731864;0
121;132;B132;50.899833024892445;4;3.0;3;2;1.0;-336352.79629188846;9223.94965331801;0
122;133;B133;17.76830299465651;2;3.0;3;2;1.0;-336418.4004294281;9395.583355155113;0
123;134;B134;126.57931972086372;4;3.0;3;2;1.0;-336351.3703093992;9197.830321873538;0
124;135;B135;98.79399001598091;4;3.0;3;2;1.0;-336416.57008606597;9385.314826684405;0
125;136;B136;3.419799494295507;4;3.0;3;2;1.0;-336323.3855086678;9402.868459698751;0
126;137;B137;39.65843829622735;4;3.0;3;2;1.0;-336480.21812383883;9371.28213811455;0
127;138;B138;120.63073725403459;4;3.0;3;2;1.0;-336402.35374236;9351.021946427352;0
128;139;B139;107.81695752801234;4;3.0;3;2;1.0;-336403.6838537066;9438.732158088294;0
129;140;B140;49.590773157275294;4;3.0;3;2;1.0;-336341.59593452426;9200.409331768918;0
130;141;B141;371.60631425486673;3;3.0;3;2;1.0;-336322.8196806047;9277.934564159556;0
131;142;B142;15.931666022554964;4;3.0;3;2;1.0;-336470.7402939251;9336.902064876102;0
132;143;B143;36.10854527703597;4;3.0;3;2;1.0;-336444.2700446559;9382.394943900472;0
133;144;B144;171.51138151092567;4;3.0;3;2;1.0;-336320.999323545;9231.536592868111;0
134;145;B145;25.7550889763428;4;3.0;3;2;1.0;-336309.47907708224;9224.055107676411;0
135;146;B146;94.1503696706877;4;3.0;3;2;1.0;-336386.27571718954;9198.707108642782;0
136;147;B147;79.5353209146982;3;3.0;3;2;1.0;-336425.0717737121;9231.117267215794;0
137;148;B148;107.7212643090868;4;3.0;3;2;1.0;-336362.8041668;9225.076480397336;0
138;149;B149;14.23842525198674;4;3.0;3;2;1.0;-336433.2121772712;9383.891063706282;0
139;150;B150;89.28048811789434;4;3.0;3;2;1.0;-336443.17791678105;9434.74122185805;0
